1 | 36
2 | 28
3 | 25
4 | 23
5 | 25
1 | 36
2 | 28
3 | 25
4 | 23
5 | 25
1 | 36
2 | 28
3 | 25
4 | 23
5 | 25
1 | 36
2 | 28
3 | 25
4 | 23
5 | 25
1 | 36
2 | 28
3 | 25
4 | 23
5 | 25
1 | 36
2 | 28
3 | 25
4 | 24
5 | 25
1 | 36
2 | 28
3 | 25
4 | 24
5 | 25
1 | 36
2 | 28
3 | 25
4 | 24
5 | 26
1 | 36
2 | 28
3 | 25
4 | 24
5 | 26
1 | 36
2 | 28
3 | 25
4 | 24
5 | 26
1 | 36
2 | 28
3 | 25
4 | 24
5 | 27
1 | 36
2 | 28
3 | 25
4 | 24
5 | 27
1 | 37
2 | 28
3 | 25
4 | 24
5 | 27
1 | 37
2 | 28
3 | 25
4 | 24
5 | 27
1 | 37
2 | 28
3 | 25
4 | 24
5 | 27
1 | 37
2 | 29
3 | 25
4 | 24
5 | 27
1 | 37
2 | 29
3 | 25
4 | 24
5 | 27
1 | 38
2 | 29
3 | 25
4 | 24
5 | 27
1 | 38
2 | 29
3 | 25
4 | 24
5 | 27
1 | 38
2 | 29
3 | 26
4 | 24
5 | 27
1 | 38
2 | 29
3 | 26
4 | 24
5 | 27
1 | 38
2 | 29
3 | 26
4 | 24
5 | 27
1 | 38
2 | 29
3 | 27
4 | 24
5 | 27
1 | 38
2 | 29
3 | 27
4 | 24
5 | 27
1 | 38
2 | 29
3 | 28
4 | 24
5 | 27
1 | 38
2 | 29
3 | 28
4 | 24
5 | 27
1 | 38
2 | 29
3 | 28
4 | 24
5 | 27
1 | 38
2 | 29
3 | 28
4 | 24
5 | 28
1 | 38
2 | 29
3 | 28
4 | 24
5 | 28
1 | 39
2 | 29
3 | 28
4 | 24
5 | 28
1 | 39
2 | 29
3 | 28
4 | 24
5 | 28
1 | 39
2 | 29
3 | 28
4 | 24
5 | 28
1 | 39
2 | 29
3 | 28
4 | 25
5 | 28
1 | 39
2 | 29
3 | 28
4 | 25
5 | 28
1 | 39
2 | 29
3 | 29
4 | 25
5 | 28
1 | 39
2 | 29
3 | 29
4 | 25
5 | 28
1 | 39
2 | 29
3 | 29
4 | 25
5 | 28
1 | 40
2 | 29
3 | 29
4 | 25
5 | 28
1 | 40
2 | 29
3 | 29
4 | 25
5 | 28
1 | 40
2 | 29
3 | 29
4 | 25
5 | 29
1 | 40
2 | 29
3 | 29
4 | 25
5 | 29
1 | 40
2 | 29
3 | 30
4 | 25
5 | 29
1 | 40
2 | 29
3 | 30
4 | 25
5 | 29
1 | 40
2 | 29
3 | 30
4 | 25
5 | 29
1 | 40
2 | 29
3 | 30
4 | 26
5 | 29
1 | 40
2 | 29
3 | 30
4 | 26
5 | 29
1 | 40
2 | 30
3 | 30
4 | 26
5 | 29
1 | 40
2 | 30
3 | 30
4 | 26
5 | 29
1 | 40
2 | 30
3 | 30
4 | 26
5 | 29
1 | 40
2 | 30
3 | 30
4 | 27
5 | 29
1 | 40
2 | 30
3 | 30
4 | 27
5 | 29
1 | 41
2 | 30
3 | 30
4 | 27
5 | 29
1 | 41
2 | 30
3 | 30
4 | 27
5 | 29
